Tiempo,CPU,RAM,Temp,Corriente (mA)
101,26.1,48.7,39.433,510.3658536585366
101,9.5,48.7,38.459,508.9024390243903
102,44.0,48.6,40.407,495.2743902439025
102,45.5,48.6,38.946,615.2743902439024
103,35.4,48.7,38.946,503.8719512195122
103,34.2,48.7,38.946,498.56707317073176
104,38.9,49.0,38.946,485.2134146341464
104,33.5,49.0,39.433,507.8048780487805
105,34.8,49.0,38.946,524.9085365853658
105,27.9,48.9,37.972,528.4756097560976
106,18.0,48.9,38.459,540.0
106,20.6,49.3,39.92,440.030487804878
107,49.5,48.7,39.92,484.9390243902439
107,37.0,48.7,40.407,489.6036585365854
108,34.9,48.7,39.92,492.5304878048781
108,38.8,48.8,40.407,496.00609756097566
109,33.3,48.8,39.433,486.6768292682927
109,33.0,48.8,39.433,493.8109756097561
110,30.7,48.2,39.433,511.7378048780488
110,10.6,48.2,38.459,500.8536585365854
111,36.9,49.0,39.433,460.9756097560976
111,42.9,48.6,39.92,590.9451219512196
112,37.2,48.8,39.433,518.1402439024391
112,36.0,48.8,39.92,530.3963414634146
113,39.7,48.8,39.92,566.7987804878048
113,32.7,48.8,39.92,537.9878048780488
114,33.3,48.8,39.92,538.9024390243903
114,8.0,48.4,38.459,546.6768292682926
115,41.7,48.9,40.407,432.7134146341464
115,42.4,48.7,39.433,534.0548780487804
116,34.8,48.8,39.92,491.3414634146341
116,37.0,48.8,39.433,520.609756097561
117,37.4,48.8,40.407,534.0548780487804
117,30.5,48.8,39.92,490.3353658536586
118,34.3,48.8,40.407,526.6463414634146
118,2.5,48.4,37.972,539.0853658536585
119,50.2,49.4,38.946,437.7439024390244
119,40.4,48.7,39.92,482.3780487804878
120,32.8,48.7,39.433,564.2378048780488
120,37.7,48.7,39.92,522.5304878048781
121,36.2,48.8,39.92,534.3292682926829
121,32.0,48.8,40.407,506.89024390243895
122,29.3,48.4,38.946,505.8841463414634
122,7.6,48.9,37.972,404.0853658536586
123,50.5,49.3,38.946,568.079268292683
123,40.2,48.7,38.946,526.9207317073171
124,31.5,48.7,37.972,600.0914634146342
124,38.9,48.8,38.946,497.6524390243903
125,34.8,48.8,37.972,528.8414634146341
125,31.3,48.8,38.946,515.3963414634146
126,25.5,48.5,38.459,585.1829268292684
126,17.0,49.0,37.972,476.25
127,45.2,49.2,38.459,540.640243902439
127,39.8,49.0,38.459,538.5365853658537
128,32.7,49.0,38.946,521.890243902439
128,36.5,49.1,39.433,493.26219512195127
129,34.8,49.1,38.946,549.9695121951219
129,31.1,49.1,38.946,527.8353658536586
130,25.8,48.7,38.459,541.829268292683
130,21.6,49.2,38.459,467.1036585365854
131,46.5,49.1,38.946,559.7560975609757
131,39.1,49.1,37.972,499.4817073170732
132,33.0,49.1,38.946,546.7682926829268
132,38.9,49.1,38.946,526.5548780487806
133,33.3,49.1,38.459,543.3841463414634
133,34.3,49.1,38.946,563.2317073170732
134,19.5,48.6,38.459,521.890243902439
134,31.3,49.3,39.92,429.6951219512195
135,50.8,49.1,37.972,597.3475609756097
135,37.4,49.1,39.92,537.1646341463414
136,34.5,49.1,39.433,528.2012195121952
136,38.9,49.2,38.946,542.2865853658536
137,33.2,49.2,38.946,540.4573170731707
137,33.5,49.2,38.459,545.1219512195122
138,15.6,49.0,37.972,505.2439024390244
138,29.8,48.8,38.459,436.3719512195122
139,46.0,48.6,38.459,503.3231707317073
139,35.4,48.7,38.459,546.9512195121952
140,34.2,48.7,38.946,531.5853658536586
140,40.4,48.8,38.459,560.4878048780488
141,34.3,48.8,38.459,517.0426829268293
141,32.2,48.8,38.946,517.5914634146342
142,11.6,48.3,37.485,573.8414634146342
142,38.1,48.8,38.946,483.3841463414634
143,43.2,48.8,38.946,534.3292682926829
143,37.9,48.9,38.946,511.4634146341464
144,34.2,48.9,38.946,523.079268292683
144,39.1,49.0,38.459,557.2865853658536
145,31.8,49.0,38.946,623.5975609756098
145,33.3,49.0,38.946,544.390243902439
146,7.5,48.5,37.972,555.7317073170732
146,43.4,48.7,39.92,458.6890243902439
147,43.3,48.7,38.946,508.99390243902445
147,35.0,48.8,38.946,497.3780487804878
148,37.0,48.8,38.946,518.6890243902438
148,38.2,48.8,38.459,500.67073170731703
149,30.8,48.8,38.459,527.6524390243903
149,34.2,48.8,39.92,546.0365853658536
150,4.0,48.2,37.485,567.6219512195122
150,51.0,49.3,38.946,461.5243902439025
151,40.5,48.9,38.459,555.7317073170732
151,33.7,48.9,38.946,511.55487804878055
152,36.2,49.0,38.946,483.9329268292683
152,35.5,49.0,38.459,516.3109756097562
153,32.2,49.0,37.972,527.5609756097562
153,32.0,48.4,39.92,518.780487804878
154,6.0,48.5,38.459,499.8475609756097
154,53.3,48.9,39.433,574.8475609756098
155,38.4,48.7,38.946,530.579268292683
155,32.8,48.7,39.433,558.75
156,37.4,48.8,39.433,529.390243902439
156,36.3,48.8,39.433,525.1829268292682
157,32.7,48.8,39.92,515.7621951219512
157,27.4,48.4,38.946,536.0670731707316
158,17.1,49.0,38.946,441.67682926829264
158,46.3,49.1,38.946,537.8048780487806
159,38.3,48.8,39.433,506.1585365853658
160,34.3,48.8,37.972,545.9451219512194
160,36.7,49.0,38.459,501.76829268292676
161,35.8,49.0,39.433,553.4451219512196
161,30.7,49.0,38.946,489.7865853658537
162,26.9,48.4,39.433,526.829268292683
162,17.7,48.9,37.972,417.8963414634147
163,46.5,48.5,38.459,519.969512195122
163,38.0,48.6,39.433,565.5182926829268
164,33.7,48.6,38.459,544.6646341463414
164,37.3,48.8,38.946,494.5426829268293
165,34.4,49.0,39.92,513.201219512195
165,31.3,49.0,38.459,486.7682926829268
166,27.3,48.6,38.946,545.9451219512194
166,16.2,49.4,39.433,446.6158536585366
167,53.5,49.7,38.946,567.8963414634146
167,39.7,49.3,38.946,552.1646341463414
